"stable_id","file","line","end_line","scope","syntactic_contract_family","normative_anchor","work_item_anchor","classification","reason","evidence","source_sha256"
"R1-91634ab90235652ab2d78b18","bins/eliot-kernel/src/lib.rs","2023","2023","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""validation context lock poisoned"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-806582dab965a96ede1cbc29","bins/eliot-kernel/src/lib.rs","2049","2049","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""validation context lock poisoned"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-b52b2caf651906b8aed06019","bins/eliot-kernel/src/lib.rs","2085","2085","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""process authority lock poisoned"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-2288dea37ec630d34bbf583b","bins/eliot-kernel/src/lib.rs","2088","2088","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-17bc9b2dcea9b73e41cb2d78","bins/eliot-kernel/src/lib.rs","2374","2374","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""path admission lock poisoned"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-197f5ab1ca21ee7db7932759","bins/eliot-kernel/src/lib.rs","2518","2518","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""store gateway lock poisoned"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-fffadf66ab240b16579698b8","bins/eliot-kernel/src/lib.rs","2522","2522","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""canonical store is not connected"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-7b30daf6a4d4cf71f06a85c8","bins/eliot-kernel/src/lib.rs","2527","2527","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-16af544aef664108ba44f101","bins/eliot-kernel/src/lib.rs","2587","2587","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-2a95bfbe06f41256de7753f9","bins/eliot-kernel/src/lib.rs","2639","2639","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-d6da1073a1a3a013bea4c75f","bins/eliot-kernel/src/lib.rs","2659","2659","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-d2d9a78d86b4fc56bb6e0682","bins/eliot-kernel/src/lib.rs","2701","2701","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-e77a932bc4268e05a3a115bc","bins/eliot-kernel/src/lib.rs","2865","2865","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-ecb74222717fed7a8b1b6da3","bins/eliot-kernel/src/lib.rs","2899","2901","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable( ""canonical store validation is unavailable on this platform"".to_owned(), )","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-e68ea7adff6c7d10eb299ca4","bins/eliot-kernel/src/lib.rs","2920","2920","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-90432a23e27197b99dd4ded2","bins/eliot-kernel/src/lib.rs","2953","2953","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-cd5c642deea5b76bd940afac","bins/eliot-kernel/src/lib.rs","2958","2958","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""process authority lock poisoned"".to_owned())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-169c9277af4c06fe3966a8b4","bins/eliot-kernel/src/lib.rs","2961","2961","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-38aac82eff5619ea41c53f83","bins/eliot-kernel/src/lib.rs","3007","3007","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-ff0cb8cc19e522d0e5f4412d","bins/eliot-kernel/src/lib.rs","3027","3027","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-a8d7e1d9ce96a4e4c610fbf7","bins/eliot-kernel/src/lib.rs","7752","7752","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-e3a87570e06264514c042ee7","bins/eliot-kernel/src/lib.rs","9929","9929","test-only","typed/StoreHealthStatus::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","StoreHealthStatus::Unavailable","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-e3232a90c91eab2ca17112e1","bins/eliot-kernel/src/lib.rs","10070","10072","test-only","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable( ""real executor test authority lock poisoned"".to_owned(), )","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-79a879f64a7bbf09a4b67cb9","bins/eliot-kernel/src/lib.rs","10421","10423","test-only","typed/PeerIdentity::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","PeerIdentity::Unavailable { reason: eliot_ipc::PeerIdentityUnavailable::ProviderProofNotComposed, }","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-bccb7e109a16510690553464","bins/eliot-kernel/src/lib.rs","11634","11636","test-only","typed/PeerIdentity::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","PeerIdentity::Unavailable { reason: eliot_ipc::PeerIdentityUnavailable::ProviderProofNotComposed, }","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-ab610fc368fc338262e16445","bins/eliot-kernel/src/lib.rs","12417","12417","test-only","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-08d1b13d701c46d359c0c028","bins/eliot-kernel/src/lib.rs","12429","12431","test-only","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable( ""injected validation context failure"".to_owned(), )","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-d872e46a63773e78aaa21586","bins/eliot-kernel/src/lib.rs","12440","12440","test-only","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(error.to_string())","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-d14a2f280516129ea19b7bde","bins/eliot-kernel/src/lib.rs","12606","12608","test-only","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable( ""missing replay"".to_owned(), )","3794ffe8a3b417fe85e9fd53ab2a60953dd4bbba42933f81ead4c1c8dff12607"
"R1-a81bf92d7a2d7874dc5de474","bins/eliot-notify/src/lib.rs","329","329","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-2c94be6e6a5d04db54f086ee","bins/eliot-notify/src/lib.rs","478","478","production-or-mixed","typed/LedgerReserveOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerReserveOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-c217ee6539e986a072f65fd6","bins/eliot-notify/src/lib.rs","505","505","production-or-mixed","typed/LedgerCommitOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerCommitOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-811234d4079fa67f1c09eac4","bins/eliot-notify/src/lib.rs","594","594","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-17aba4c821522bd4297fbd51","bins/eliot-notify/src/lib.rs","597","597","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-7267e70c1765de79840e8b69","bins/eliot-notify/src/lib.rs","1233","1233","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-f29b2dfe2e6d3d2e10075f4a","bins/eliot-notify/src/lib.rs","1417","1417","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-a4a2b17f247b3b4baac38051","bins/eliot-notify/src/lib.rs","1427","1427","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-702dbf636cd0e95c0bb9e3e3","bins/eliot-notify/src/lib.rs","1431","1431","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-6c252d34e3aa0a48d123095d","bins/eliot-notify/src/lib.rs","1435","1435","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-e4eb97e076c764f7d9d99a01","bins/eliot-notify/src/lib.rs","1450","1450","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-d4242362acab9f720092c366","bins/eliot-notify/src/lib.rs","1456","1456","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-190f697fbe9e61f30ce43499","bins/eliot-notify/src/lib.rs","1463","1463","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-51a023798bbeea15392cc1fe","bins/eliot-notify/src/lib.rs","1470","1470","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-5b303ccc977f5ab11f547361","bins/eliot-notify/src/lib.rs","1484","1484","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-c7e198651bc90359733b5071","bins/eliot-notify/src/lib.rs","1511","1511","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-7bd2ea077e925ea009034b64","bins/eliot-notify/src/lib.rs","1519","1519","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-24165bebb0c7e1221642993a","bins/eliot-notify/src/lib.rs","1525","1525","production-or-mixed","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-9d080068f289e4e05844cbfb","bins/eliot-notify/src/lib.rs","1550","1550","production-or-mixed","typed/LedgerReserveOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerReserveOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-beba8bca1d2c72e03775d4bf","bins/eliot-notify/src/lib.rs","1557","1557","production-or-mixed","typed/LedgerReserveOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerReserveOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-8bc3f1ac96d10ba5f66e5c78","bins/eliot-notify/src/lib.rs","1567","1567","production-or-mixed","typed/LedgerReserveOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerReserveOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-31e337981fa77d4b6bc2bd12","bins/eliot-notify/src/lib.rs","1583","1583","production-or-mixed","typed/LedgerReserveOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerReserveOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-0dab47a85c25d165a8519798","bins/eliot-notify/src/lib.rs","1604","1604","production-or-mixed","typed/LedgerCommitOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerCommitOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-dade6037249a76eaee854370","bins/eliot-notify/src/lib.rs","1630","1630","production-or-mixed","typed/LedgerCommitOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerCommitOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-25c7e29bf34a47a983b93898","bins/eliot-notify/src/lib.rs","1642","1642","production-or-mixed","typed/LedgerCommitOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerCommitOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-fd14af17bb9617783ecdf29f","bins/eliot-notify/src/lib.rs","1935","1935","test-only","typed/ProviderErrorCode::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProviderErrorCode::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-b4ead4460beb67a3df98a8ca","bins/eliot-notify/src/lib.rs","2080","2080","test-only","typed/LedgerReserveOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerReserveOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-923f06522f72a5dd773e4457","bins/eliot-notify/src/lib.rs","2089","2089","test-only","typed/LedgerCommitOutcome::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","LedgerCommitOutcome::Unavailable","10ff5ee438a9642033653071a40bf9825a851436bf3f96afb0d0e5ad23842dd4"
"R1-276c91287c115033afe6bd42","bins/eliot-store-surreal/src/lib.rs","805","805","production-or-mixed","typed/StoreError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","StoreError::Unavailable","0029fb6ff009a8b3f510f3eceaa6e99a5db7e77a9b6592d722739b4bde8cb70c"
"R1-4582cdc48e4ccda344cf81c2","bins/eliot-user-broker/src/lib.rs","387","387","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""broker context lock poisoned"".to_owned())","02390c174a1baae2dffd148582ec2c376b97870021b72c65c5377a4063108bc7"
"R1-f1498f1754992ff11bff1991","bins/eliot-user-broker/src/lib.rs","391","391","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""missing broker validation context"".to_owned())","02390c174a1baae2dffd148582ec2c376b97870021b72c65c5377a4063108bc7"
"R1-a0e6762d7ddfcaeaf39dc3ef","bins/eliot-user-broker/src/lib.rs","396","396","production-or-mixed","typed/ProcessExecutionError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","ProcessExecutionError::Unavailable(""broker authority lock poisoned"".to_owned())","02390c174a1baae2dffd148582ec2c376b97870021b72c65c5377a4063108bc7"
"R1-970a9a0a90b4354858b66d53","bins/eliot-user-broker/src/lib.rs","651","651","production-or-mixed","typed/PortError::Unavailable","UNKNOWN","UNKNOWN","Unknown","runtime availability state is not proof of missing work and is not conflated with Unsupported","PortError::Unavailable","02390c174a1baae2dffd148582ec2c376b97870021b72c65c5377a4063108bc7"
